tidied 1 unfrozen.csv,tidied 2 slow.csv,tidied 3 snap.csv,tidied 4 dmso.csv,tidied 5 snap and dmso.csv
2.053,1.861,1.659,5.466,2.514
8.071,5.535,3.294,5.105,2.399
5.318,3.037,3.637,5.837,2.025
4.788,3.885,2.161,13.312,2.035
1.582,2.059,8.811,8.134,2.772
2.581,1.499,1.701,10.559,4.869
8.482,5.497,1.627,2.447,8.031
3.763,3.523,2.777,1.632,4.135
2.416,2.994,1.838,3.962,1.828
10.385,1.575,3.413,5.466,7.177
2.154,1.776,4.313,2.773,3.617
9.155,2.594,4.365,2.294,5.815
4.160,1.522,2.999,4.048,1.799
1.522,4.206,2.683,2.335,6.869
5.505,3.714,2.920,3.569,2.964
1.530,1.711,5.373,3.514,3.999
1.693,2.554,3.887,4.280,4.889
4.476,3.375,1.512,5.271,4.584
1.947,3.911,2.460,8.310,3.395
3.816,2.981,2.161,5.668,2.224
1.677,3.288,2.161,1.984,2.883
3.909,1.697,2.251,3.794,2.089
1.982,2.406,2.849,2.538,2.479
2.541,1.816,1.483,2.558,3.427
5.055,1.545,1.573,2.927,2.979
2.076,4.363,4.618,3.614,1.683
9.030,3.840,2.317,3.268,5.698
11.114,2.550,6.042,4.743,2.458
1.848,3.640,5.094,5.091,2.727
7.216,1.864,1.492,1.668,3.197
2.073,2.893,5.390,3.665,4.222
39.932,1.733,3.345,10.180,1.732
2.200,2.191,3.186,3.233,1.479
1.765,3.099,1.559,4.437,1.567
4.172,1.656,4.407,2.455,5.317
2.413,2.569,7.003,4.279,3.852
2.348,2.818,2.117,2.164,1.911
2.126,1.756,6.208,2.656,1.620
9.725,1.504,5.301,1.602,1.513
6.357,2.432,1.484,5.062,2.522
4.700,1.924,2.237,5.843,2.647
1.664,1.840,2.096,1.951,1.462
2.129,3.002,1.558,1.780,4.738
7.551,1.759,3.832,5.311,7.046
7.395,7.833,6.601,3.974,5.327
6.643,1.847,1.464,8.514,1.697
8.843,2.140,1.645,1.739,2.460
8.334,1.689,2.269,2.161,4.150
7.849,2.455,5.959,3.670,3.374
1.466,2.899,7.666,12.328,3.747
2.099,1.868,13.247,5.896,5.315
8.162,1.709,1.711,2.933,1.880
2.563,1.633,2.697,3.735,1.651
2.890,1.521,6.601,3.318,6.031
1.893,2.307,3.312,2.027,2.945
2.189,1.989,2.479,2.921,3.743
14.026,1.796,2.996,2.617,3.988
2.027,2.130,2.933,1.749,1.937
2.512,2.365,1.497,2.736,2.170
4.703,3.960,4.194,5.455,2.204
2.042,1.796,2.448,1.955,2.398
1.514,1.772,2.285,4.078,1.827
3.651,1.872,2.234,3.482,2.735
1.585,2.450,7.262,3.357,2.654
2.238,2.909,6.818,2.647,2.335
4.186,4.563,4.932,3.096,1.913
4.781,4.386,6.362,3.600,6.345
6.266,1.718,4.018,2.832,3.507
2.308,1.658,2.869,6.780,3.327
19.218,2.469,5.536,6.243,2.117
23.757,1.482,1.914,4.519,3.915
5.172,1.551,2.902,2.711,3.122
1.997,1.998,1.861,2.843,1.877
8.507,1.690,4.447,2.928,1.796
3.254,5.551,1.951,5.047,2.966
1.997,1.619,1.780,5.308,6.142
3.211,5.573,2.420,2.879,2.493
1.881,2.705,1.866,3.680,1.915
2.178,1.752,2.497,4.104,3.032
2.369,4.599,1.750,7.650,5.230
6.034,1.702,1.486,3.231,4.832
2.625,1.461,2.702,3.666,1.565
6.238,2.555,2.301,3.165,2.659
2.544,1.978,2.303,5.802,3.163
11.214,3.189,4.530,4.078,3.983
9.701,1.634,6.831,1.779,3.768
2.169,1.496,6.106,1.955,3.145
4.245,2.332,4.623,1.974,2.517
2.219,2.102,2.570,2.691,2.978
2.626,2.538,1.459,1.669,1.981
4.863,1.771,9.577,3.005,2.122
2.098,1.772,2.670,2.773,4.030
2.242,2.015,3.997,2.076,2.360
4.587,2.066,3.358,2.051,5.076
1.680,1.943,5.592,1.588,1.862
2.143,1.496,2.080,3.794,7.937
1.762,1.881,2.909,1.561,5.004
2.563,1.791,2.010,6.499,2.156
6.864,1.739,3.952,4.339,4.335
3.841,3.128,5.150,3.774,3.309
3.575,2.881,1.874,1.936,2.702
1.673,5.628,2.375,1.813,1.616
8.851,3.318,1.460,1.599,2.884
2.631,3.388,3.121,2.786,2.010
2.136,4.909,1.526,2.127,2.274
5.176,1.503,4.870,2.838,1.824
1.472,6.207,5.689,3.140,1.772
2.078,5.512,2.337,3.113,2.248
8.359,2.834,3.887,4.125,1.837
6.925,1.631,2.124,6.956,2.713
8.055,3.131,5.578,1.556,4.022
4.051,1.538,5.577,2.193,1.883
7.056,3.153,4.539,2.839,2.720
3.503,7.056,2.297,2.568,2.473
9.644,3.047,2.591,2.633,2.850
4.877,2.079,3.479,2.543,2.529
3.671,2.454,3.610,3.079,8.675
3.425,1.508,6.981,2.986,6.340
3.681,3.417,4.687,2.638,3.169
1.691,2.973,1.542,2.497,2.300
1.559,1.991,2.550,1.698,3.539
2.336,1.913,1.937,1.485,3.674
2.986,1.706,2.899,2.873,2.217
2.233,2.664,3.703,8.647,1.669
1.895,2.089,3.886,3.732,2.845
2.497,2.856,3.800,8.608,2.513
3.430,4.210,2.719,7.231,1.986
8.162,3.244,1.535,1.603,1.763
3.786,5.063,1.904,10.810,5.389
2.331,1.937,1.624,8.154,4.317
